"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp"
"Otu0080",564.649007522844,-2.8397027228902,0.811234922780261,-3.50046902956049,0.000464440201702932,0.0111465648408704,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,"1.1e-02","NONINF_NoTRMT","Otu0080","D7_INF_InjOTCvsNONINF_NoTRMT"
"Otu0304",8.2014111331067,5.46205990849201,1.35184364531614,4.04045240543677,5.3348191144032e-05,0.00256071317491354,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,"3.0e-03","INF_InjOTC","Otu0304","D7_INF_InjOTCvsNONINF_NoTRMT"
"Otu00802",564.649007522844,-2.51847055843913,0.765041083590811,-3.29194158648107,0.000994982756664645,0.0238795861599515,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,"2.4e-02","INF_NoTRMT","Otu0080","D7_INF_InjOTCvsINF_NoTRMT"
"Otu0116",21.2353905083611,-6.36004772888376,1.39473637894639,-4.56003573498834,5.11449166573488e-06,0.000245495599955274,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"0.0e+00","INF_NoTRMT","Otu0116","D7_INF_InjOTCvsINF_NoTRMT"
"Otu0004",855.835037600704,1.14678091442539,0.3560850514237,3.22052529259605,0.00127955901304908,0.00860005365427612,"Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,"9.0e-03","INF_OralOTC","Otu0004","DNEG3_INF_OralOTCvsINF_NoTRMT"
"Otu0015",279.963133143778,2.13809877663522,0.672172825296617,3.18087654866398,0.001468301843413,0.00860005365427612,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,"9.0e-03","INF_OralOTC","Otu0015","DNEG3_INF_OralOTCvsINF_NoTRMT"
"Otu0051",175.641924057143,-2.26857001346539,0.562411562782421,-4.03364753427558,5.49176735942107e-05,0.000853563974726764,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales",NA,NA,"1.0e-03","INF_NoTRMT","Otu0051","DNEG3_INF_OralOTCvsINF_NoTRMT"
"Otu0056",107.386984307969,1.1034325585714,0.345807015184871,3.1908911910925,0.0014183468528795,0.00860005365427612,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales",NA,NA,"9.0e-03","INF_OralOTC","Otu0056","DNEG3_INF_OralOTCvsINF_NoTRMT"
"Otu01163",10.205778860015,-4.04323142845298,1.49318749930469,-2.70778547927552,0.00677337884659728,0.0347135665888111,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"3.5e-02","INF_NoTRMT","Otu0116","DNEG3_INF_OralOTCvsINF_NoTRMT"
"Otu0257",22.5079914399304,-1.31527045572143,0.405065107072952,-3.24705938071469,0.00116604058867307,0.00860005365427612,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,"9.0e-03","INF_NoTRMT","Otu0257","DNEG3_INF_OralOTCvsINF_NoTRMT"
"Otu0268",27.7640155787789,-3.43455003524614,0.857922325962079,-4.00333448764679,6.24559005897632e-05,0.000853563974726764,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales",NA,NA,"1.0e-03","INF_NoTRMT","Otu0268","DNEG3_INF_OralOTCvsINF_NoTRMT"
"Otu0364",16.8717472554098,-4.70407683905434,1.10145333282274,-4.27079087136538,1.9478099496056e-05,0.000798602079338296,"Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",NA,NA,"1.0e-03","INF_NoTRMT","Otu0364","DNEG3_INF_OralOTCvsINF_NoTRMT"
"Otu0442",15.9672488254015,-2.15706667421327,0.831363819115439,-2.59461215970207,0.0094697710474361,0.0431400681049867,"Bacteria","Synergistetes","Synergistia","Synergistales",NA,NA,"4.3e-02","INF_NoTRMT","Otu0442","DNEG3_INF_OralOTCvsINF_NoTRMT"
"Otu00511",175.641924057143,-2.13277391023909,0.592809959570673,-3.59773629947731,0.000320998822235596,0.005563979585417,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales",NA,NA,"6e-03","INF_NoTRMT","Otu0051","DNEG3_INF_InjOTCvsINF_NoTRMT"
"Otu01161",10.205778860015,-5.93741325218313,1.61960026780547,-3.66597448160974,0.00024639849665497,0.005563979585417,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"6e-03","INF_NoTRMT","Otu0116","DNEG3_INF_InjOTCvsINF_NoTRMT"
"Otu02681",27.7640155787789,-3.57970951745041,0.906237192840202,-3.9500801178016,7.81250378453177e-05,0.00406250196795652,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales",NA,NA,"4e-03","INF_NoTRMT","Otu0268","DNEG3_INF_InjOTCvsINF_NoTRMT"
"Otu0025",571.783122977758,2.69033552880542,0.783886814496845,3.43204590133624,0.000599046158874426,0.00778760006536754,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,"8.0e-03","INF_NoTRMT","Otu0025","DNEG3_INF_NoTRMTvsNONINF_NoTRMT"
"Otu01162",10.205778860015,7.66743364036152,1.58988867276836,4.82262297460789,1.41682623879305e-06,7.36749644172385e-05,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"0.0e+00","INF_NoTRMT","Otu0116","DNEG3_INF_NoTRMTvsNONINF_NoTRMT"
"Otu02571",22.5079914399304,1.72944028194522,0.420703018227091,4.11083402546849,3.94232517163973e-05,0.00068333636308422,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,"1.0e-03","INF_NoTRMT","Otu0257","DNEG3_INF_NoTRMTvsNONINF_NoTRMT"
"Otu02682",27.7640155787789,4.01031934385255,0.885716730222543,4.52776740803454,5.96101419783427e-06,0.000154986369143691,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales",NA,NA,"0.0e+00","INF_NoTRMT","Otu0268","DNEG3_INF_NoTRMTvsNONINF_NoTRMT"
"Otu04421",15.9672488254015,2.4257418850656,0.856104970753241,2.83346314755224,0.00460466169899679,0.0478884816695666,"Bacteria","Synergistetes","Synergistia","Synergistales",NA,NA,"4.8e-02","INF_NoTRMT","Otu0442","DNEG3_INF_NoTRMTvsNONINF_NoTRMT"
"Otu00151",279.963133143778,2.51705307177504,0.651557610079356,3.86313202829214,0.000111942465637514,0.00582100821315071,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,"6.0e-03","INF_NoTRMT","Otu0015","DNEG3_INF_OralOTCvsNONINF_NoTRMT"
"Otu00251",571.783122977758,2.50500674205626,0.741309176068763,3.37916597139747,0.000727061002884637,0.0114746007110252,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,"1.1e-02","INF_NoTRMT","Otu0025","DNEG3_INF_OralOTCvsNONINF_NoTRMT"
"Otu00561",107.386984307969,1.115908983734,0.335563195134983,3.32548086295674,0.000882661593155786,0.0114746007110252,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales",NA,NA,"1.1e-02","INF_NoTRMT","Otu0056","DNEG3_INF_OralOTCvsNONINF_NoTRMT"
"Otu03641",16.8717472554098,-3.68069541650392,1.07154812322717,-3.43493244654174,0.0005927015587657,0.0114746007110252,"Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",NA,NA,"1.1e-02","NONINF_NoTRMT","Otu0364","DNEG3_INF_OralOTCvsNONINF_NoTRMT"
"Otu0037",489.272060653783,-1.10916287148604,0.372381955515462,-2.97856234722947,0.00289604104065288,0.046336656650446,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",NA,NA,"4.6e-02","INF_NoTRMT","Otu0037","D7_INF_OralOTCvsINF_NoTRMT"
"Otu01164",21.2353905083611,-6.50573566491122,1.45092395223414,-4.48385710008693,7.33057632012135e-06,0.000351867663365825,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"0.0e+00","INF_NoTRMT","Otu0116","D7_INF_OralOTCvsINF_NoTRMT"
"Otu03042",8.2014111331067,-4.25843684510726,1.32559081343694,-3.21248216413491,0.00131593319079267,0.0315823965790241,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,"3.2e-02","INF_NoTRMT","Otu0304","D7_INF_OralOTCvsINF_NoTRMT"
"Otu00371",489.272060653783,-1.61265048419589,0.371822733517026,-4.33714869702029,1.44342978226644e-05,0.000346423147743946,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",NA,NA,"0.0e+00","INF_InjOTC","Otu0037","D7_INF_OralOTCvsINF_InjOTC"
"Otu00801",564.649007522844,2.59491939772104,0.7655657674287,3.38954471075238,0.000700087912168767,0.0112014065947003,"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,"1.1e-02","INF_OralOTC","Otu0080","D7_INF_OralOTCvsINF_InjOTC"
"Otu0154",108.679717473728,-1.84470096871526,0.606104333759631,-3.04353700504447,0.00233814682701038,0.0280577619241246,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales",NA,NA,"2.8e-02","INF_InjOTC","Otu0154","D7_INF_OralOTCvsINF_InjOTC"
"Otu03041",8.2014111331067,-6.25578264849842,1.30922394354095,-4.77823727511346,1.76838629361618e-06,8.48825420935766e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,"0.0e+00","INF_InjOTC","Otu0304","D7_INF_OralOTCvsINF_InjOTC"
