,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,newp,Treatment,OTU,comp
Otu0080,547.4375379,-2.862223152,0.807216475,-3.545793777,0.000391432,0.007828648,Bacteria,Tenericutes,NA,NA,NA,NA,8.00E-03,NONINF_NoTRMT,Otu0080,D7_INF_InjOTCvsNONINF_NoTRMT
Otu00802,547.4375379,-2.286104344,0.761274706,-3.002995273,0.002673366,0.026733658,Bacteria,Tenericutes,NA,NA,NA,NA,2.70E-02,INF_NoTRMT,Otu0080,D7_INF_InjOTCvsINF_NoTRMT
Otu0116,20.85731355,-6.282402972,1.314007334,-4.781101908,1.74E-06,3.49E-05,Bacteria,Verrucomicrobia,NA,NA,NA,NA,0.00E+00,INF_NoTRMT,Otu0116,D7_INF_InjOTCvsINF_NoTRMT
Otu0015,623.4172848,-1.084715442,0.362200015,-2.994796793,0.002746277,0.028835912,Bacteria,Proteobacteria,NA,NA,NA,NA,2.90E-02,INF_NoTRMT,Otu0015,DNEG3_INF_InjOTCvsINF_NoTRMT
Otu0025,483.1723202,-2.106303872,0.751808338,-2.801650055,0.005084199,0.035589393,Bacteria,Epsilonbacteraeota,NA,NA,NA,NA,3.60E-02,INF_NoTRMT,Otu0025,DNEG3_INF_InjOTCvsINF_NoTRMT
Otu01163,14.86870643,-4.672132567,1.123184484,-4.159719648,3.19E-05,0.000669141,Bacteria,Verrucomicrobia,NA,NA,NA,NA,1.00E-03,INF_NoTRMT,Otu0116,DNEG3_INF_InjOTCvsINF_NoTRMT
Otu0442,14.35893918,-2.169232043,0.834863737,-2.598306704,0.009368477,0.049184506,Bacteria,Synergistetes,NA,NA,NA,NA,4.90E-02,INF_NoTRMT,Otu0442,DNEG3_INF_InjOTCvsINF_NoTRMT
Otu0001,7999.905574,-0.559821885,0.124851623,-4.483897523,7.33E-06,7.70E-05,Bacteria,Firmicutes,NA,NA,NA,NA,0.00E+00,NONINF_NoTRMT,Otu0001,DNEG3_INF_NoTRMTvsNONINF_NoTRMT
Otu00251,483.1723202,2.289976275,0.730937573,3.132930033,0.001730707,0.012114948,Bacteria,Epsilonbacteraeota,NA,NA,NA,NA,1.20E-02,INF_NoTRMT,Otu0025,DNEG3_INF_NoTRMTvsNONINF_NoTRMT
Otu0037,227.7498176,-1.254835033,0.48231571,-2.601688081,0.009276618,0.038961797,Bacteria,Actinobacteria,NA,NA,NA,NA,3.90E-02,NONINF_NoTRMT,Otu0037,DNEG3_INF_NoTRMTvsNONINF_NoTRMT
Otu01161,14.86870643,7.23230962,1.162858068,6.219425928,4.99E-10,1.05E-08,Bacteria,Verrucomicrobia,NA,NA,NA,NA,0.00E+00,INF_NoTRMT,Otu0116,DNEG3_INF_NoTRMTvsNONINF_NoTRMT
Otu04421,14.35893918,2.330164334,0.815482199,2.857406742,0.004271181,0.022423702,Bacteria,Synergistetes,NA,NA,NA,NA,2.20E-02,INF_NoTRMT,Otu0442,DNEG3_INF_NoTRMTvsNONINF_NoTRMT
Otu00011,7999.905574,-0.322668971,0.118059747,-2.73309896,0.006274148,0.032939276,Bacteria,Firmicutes,NA,NA,NA,NA,3.30E-02,NONINF_NoTRMT,Otu0001,DNEG3_INF_OralOTCvsNONINF_NoTRMT
Otu00151,623.4172848,1.008328293,0.332892035,3.028994948,0.002453688,0.017175815,Bacteria,Proteobacteria,NA,NA,NA,NA,1.70E-02,INF_OralOTC,Otu0015,DNEG3_INF_OralOTCvsNONINF_NoTRMT
Otu00252,483.1723202,2.362775727,0.691254947,3.418095938,0.000630609,0.006621392,Bacteria,Epsilonbacteraeota,NA,NA,NA,NA,7.00E-03,INF_OralOTC,Otu0025,DNEG3_INF_OralOTCvsNONINF_NoTRMT
Otu01162,14.86870643,4.857871903,1.114860987,4.357379045,1.32E-05,0.000276421,Bacteria,Verrucomicrobia,NA,NA,NA,NA,0.00E+00,INF_OralOTC,Otu0116,DNEG3_INF_OralOTCvsNONINF_NoTRMT
Otu01164,20.85731355,-6.562909212,1.388401083,-4.726954836,2.28E-06,4.56E-05,Bacteria,Verrucomicrobia,NA,NA,NA,NA,0.00E+00,INF_NoTRMT,Otu0116,D7_INF_OralOTCvsINF_NoTRMT
Otu00801,547.4375379,2.56200979,0.761519264,3.36434009,0.000767269,0.015345387,Bacteria,Tenericutes,NA,NA,NA,NA,1.50E-02,INF_OralOTC,Otu0080,D7_INF_OralOTCvsINF_InjOTC
Otu0154,108.9968393,-1.779834975,0.617310599,-2.88320819,0.003936472,0.039364718,Bacteria,Cyanobacteria,NA,NA,NA,NA,3.90E-02,INF_InjOTC,Otu0154,D7_INF_OralOTCvsINF_InjOTC