Pig ID,Treatment,Day,log10aph2
271,INFfeed,7,4.248438485
272,INFfeed,7,4.781336589
283,INFfeed,7,5.111041182
284,INFfeed,7,3.303185859
273,INFfeed,7,4.510490547
275,INFfeed,7,4.896555375
285,INFfeed,7,4.504117884
281,INFfeed,7,5.081659092
282,INFfeed,7,4.739683345
294,INFinject,7,4.573369076
305,INFinject,7,1.495927285
291,INFinject,7,3.535324879
301,INFinject,7,5.348273454
302,INFinject,7,2.773569326
292,INFinject,7,4.819828767
293,INFinject,7,3.609404023
303,INFinject,7,5.301341075
304,INFinject,7,3.239095852
311,INFnm,7,4.910085487
321,INFnm,7,5.127601006
322,INFnm,7,2.771332068
312,INFnm,7,4.308936549
313,INFnm,7,3.992230009
323,INFnm,7,4.896851778
324,INFnm,7,3.586009781
314,INFnm,7,3.878742796
315,INFnm,7,4.682992359
325,INFnm,7,3.868156984
272,INFfeed,11,4.940072194
273,INFfeed,11,4.525330669
284,INFfeed,11,2.947820998
285,INFfeed,11,5.106267179
275,INFfeed,11,2.768826879
281,INFfeed,11,2.971418288
271,INFfeed,11,5.351951307
282,INFfeed,11,4.930357948
295,INFinject,11,2.587085384
301,INFinject,11,2.871138572
291,INFinject,11,3.215209705
292,INFinject,11,5.082400018
302,INFinject,11,2.935553532
303,INFinject,11,2.683907437
293,INFinject,11,2.593246443
294,INFinject,11,2.48293453
304,INFinject,11,4.579787887
311,INFnm,11,3.59947243
312,INFnm,11,4.96394221
322,INFnm,11,5.105670429
323,INFnm,11,3.322580246
313,INFnm,11,4.890479115
314,INFnm,11,5.096182754
324,INFnm,11,3.187347829
315,INFnm,11,5.320574388
321,INFnm,11,4.78446995
273,INFfeed,14,4.680336584
275,INFfeed,14,4.896509415
281,INFfeed,14,5.046979866
282,INFfeed,14,4.979844601
272,INFfeed,14,5.104395971
283,INFfeed,14,4.106455233
284,INFfeed,14,4.135891584
285,INFfeed,14,5.380204794
291,INFinject,14,5.592767939
292,INFinject,14,5.554421698
293,INFinject,14,5.465797219
303,INFinject,14,5.32767345
304,INFinject,14,5.569241845
294,INFinject,14,5.246892268
305,INFinject,14,5.170887276
302,INFinject,14,4.63357796
301,INFinject,14,5.578723969
315,INFnm,14,5.515741114
324,INFnm,14,2.816399551
314,INFnm,14,5.381322381
311,INFnm,14,5.320202613
321,INFnm,14,5.042523858
325,INFnm,14,4.838993415
312,INFnm,14,4.924307167
313,INFnm,14,5.506269809