Pig,Treatment,Day,log10tetW
271,INFfeed,D0,3.975938776
272,INFfeed,D0,4.536629441
273,INFfeed,D0,4.330442011
275,INFfeed,D0,4.167263002
281,INFfeed,D0,4.336358137
282,INFfeed,D0,4.634371943
283,INFfeed,D0,4.369899531
284,INFfeed,D0,4.369899531
285,INFfeed,D0,4.153216186
291,INFinject,D0,2.590498392
292,INFinject,D0,4.430452137
293,INFinject,D0,2.17292957
294,INFinject,D0,4.204270344
295,INFinject,D0,4.449347645
301,INFinject,D0,4.208129088
302,INFinject,D0,2.382646109
303,INFinject,D0,4.483584081
304,INFinject,D0,1.966495355
305,INFinject,D0,1.083733342
311,INFnm,D0,4.456937367
312,INFnm,D0,3.666420725
313,INFnm,D0,3.688161842
314,INFnm,D0,3.931665402
315,INFnm,D0,4.589441252
321,INFnm,D0,4.589441252
322,INFnm,D0,4.589441252
323,INFnm,D0,4.463103053
324,INFnm,D0,2.85756851
325,INFnm,D0,2.85756851
271,INFfeed,D4,4.367821746
272,INFfeed,D4,4.373461449
273,INFfeed,D4,3.90774067
275,INFfeed,D4,3.90774067
281,INFfeed,D4,2.199420121
282,INFfeed,D4,4.45479191
283,INFfeed,D4,2.95716109
284,INFfeed,D4,2.241079851
285,INFfeed,D4,4.257105461
291,INFinject,D4,2.431024915
292,INFinject,D4,4.364259828
293,INFinject,D4,2.148146606
294,INFinject,D4,2.308958992
295,INFinject,D4,1.359816325
301,INFinject,D4,1.617130564
302,INFinject,D4,2.729042636
303,INFinject,D4,1.505226973
304,INFinject,D4,3.711835179
305,INFinject,D4,2.715685443
311,INFnm,D4,3.067573941
312,INFnm,D4,4.541465249
313,INFnm,D4,4.496347621
314,INFnm,D4,4.50317463
315,INFnm,D4,4.546808126
321,INFnm,D4,4.491598397
322,INFnm,D4,4.599940069
323,INFnm,D4,3.148854115
324,INFnm,D4,2.951043227
325,INFnm,D4,2.048716296
271,INFfeed,D7,4.534623069
272,INFfeed,D7,4.641581919
273,INFfeed,D7,4.910233634
275,INFfeed,D7,4.516649268
281,INFfeed,D7,4.513408091
282,INFfeed,D7,4.228773797
283,INFfeed,D7,3.16036391
284,INFfeed,D7,3.615601989
285,INFfeed,D7,4.849901221
291,INFinject,D7,4.523131623
292,INFinject,D7,4.90676915
293,INFinject,D7,4.689610273
294,INFinject,D7,4.919733859
295,INFinject,D7,4.62154555
301,INFinject,D7,4.729977663
302,INFinject,D7,4.471862091
303,INFinject,D7,4.471862091
304,INFinject,D7,4.871410852
305,INFinject,D7,4.812171017
311,INFnm,D7,4.808649874
312,INFnm,D7,5.046139772
313,INFnm,D7,4.719664826
314,INFnm,D7,4.628322557
315,INFnm,D7,4.780952541
321,INFnm,D7,4.566445537
322,INFnm,D7,2.873114181
323,INFnm,D7,3.490963991
324,INFnm,D7,2.604649335
325,INFnm,D7,4.750727932